Geographic code,Geographic name,Province or territory,Population 2016
B4C,B4C,Nova Scotia,18195
B4E,B4E,Nova Scotia,18259
B4G,B4G,Nova Scotia,5055
B4H,B4H,Nova Scotia,13422
B4N,B4N,Nova Scotia,17382
B4P,B4P,Nova Scotia,7784
B4R,B4R,Nova Scotia,2985
B4V,B4V,Nova Scotia,20167
B5A,B5A,Nova Scotia,15479
B6L,B6L,Nova Scotia,13007
B9A,B9A,Nova Scotia,4492
C0A,C0A,Prince Edward Island,44095
C0B,C0B,Prince Edward Island,28575
C1A,C1A,Prince Edward Island,24839
C1B,C1B,Prince Edward Island,13203
C1C,C1C,Prince Edward Island,4266
C1E,C1E,Prince Edward Island,11466
C1N,C1N,Prince Edward Island,16463
E1A,E1A,New Brunswick,43012
E1B,E1B,New Brunswick,19667
E1C,E1C,New Brunswick,23686
E1E,E1E,New Brunswick,11006
E1G,E1G,New Brunswick,22554
E1H,E1H,New Brunswick,7421
E1J,E1J,New Brunswick,3436
E1N,E1N,New Brunswick,11344
E1V,E1V,New Brunswick,13544
E1W,E1W,New Brunswick,6935
E1X,E1X,New Brunswick,14040
E2A,E2A,New Brunswick,17205
E2E,E2E,New Brunswick,19526
E2G,E2G,New Brunswick,5079
E2H,E2H,New Brunswick,4700
E2J,E2J,New Brunswick,15813
E2K,E2K,New Brunswick,17495
E2L,E2L,New Brunswick,7566
E2M,E2M,New Brunswick,18715
E2N,E2N,New Brunswick,4275
E2P,E2P,New Brunswick,1391
E2R,E2R,New Brunswick,10
E2S,E2S,New Brunswick,6822
E2V,E2V,New Brunswick,14649
E3A,E3A,New Brunswick,28167
E3B,E3B,New Brunswick,36946
E3C,E3C,New Brunswick,11594
E3E,E3E,New Brunswick,4600
E3G,E3G,New Brunswick,8687
E3L,E3L,New Brunswick,8618
E3N,E3N,New Brunswick,13533
E3V,E3V,New Brunswick,11742
E3Y,E3Y,New Brunswick,7355
E3Z,E3Z,New Brunswick,4080
E4A,E4A,New Brunswick,2926
E4B,E4B,New Brunswick,4190
E4C,E4C,New Brunswick,2186
E4E,E4E,New Brunswick,8906
E4G,E4G,New Brunswick,2737
E4H,E4H,New Brunswick,4014
E4J,E4J,New Brunswick,4840
E4K,E4K,New Brunswick,6315
E4L,E4L,New Brunswick,7009
E4M,E4M,New Brunswick,1772
E4N,E4N,New Brunswick,3712
E4P,E4P,New Brunswick,14586
E4R,E4R,New Brunswick,6285
E4S,E4S,New Brunswick,7013
E4T,E4T,New Brunswick,2159
E4V,E4V,New Brunswick,4246
E4W,E4W,New Brunswick,8069
E4X,E4X,New Brunswick,2976
E4Y,E4Y,New Brunswick,3038
E4Z,E4Z,New Brunswick,5618
E5A,E5A,New Brunswick,1698
E5B,E5B,New Brunswick,3037
E5C,E5C,New Brunswick,4221
E5E,E5E,New Brunswick,872
E5G,E5G,New Brunswick,2505
E5H,E5H,New Brunswick,2825
E5J,E5J,New Brunswick,1960
E5K,E5K,New Brunswick,7123
E5L,E5L,New Brunswick,2871
E5M,E5M,New Brunswick,2028
E5N,E5N,New Brunswick,11668
E5P,E5P,New Brunswick,2546
E5R,E5R,New Brunswick,1446
E5S,E5S,New Brunswick,1774
E5T,E5T,New Brunswick,3035
E5V,E5V,New Brunswick,797
E6A,E6A,New Brunswick,1254
E6B,E6B,New Brunswick,1590
E6C,E6C,New Brunswick,2044
E6E,E6E,New Brunswick,1512
E6G,E6G,New Brunswick,2519
E6H,E6H,New Brunswick,1210
E6J,E6J,New Brunswick,1185
E6K,E6K,New Brunswick,3787
E6L,E6L,New Brunswick,4660
E7A,E7A,New Brunswick,3707
E7B,E7B,New Brunswick,5701
E7C,E7C,New Brunswick,5229
E7E,E7E,New Brunswick,4279
E7G,E7G,New Brunswick,3720
E7H,E7H,New Brunswick,5577
E7J,E7J,New Brunswick,2069
E7K,E7K,New Brunswick,2564
E7L,E7L,New Brunswick,5195
E7M,E7M,New Brunswick,9908
E7N,E7N,New Brunswick,2966
E7P,E7P,New Brunswick,3591
E8A,E8A,New Brunswick,3679
E8B,E8B,New Brunswick,2333
E8C,E8C,New Brunswick,3544
E8E,E8E,New Brunswick,5224
E8G,E8G,New Brunswick,2642
E8J,E8J,New Brunswick,5614
E8K,E8K,New Brunswick,8668
E8L,E8L,New Brunswick,2356
E8M,E8M,New Brunswick,2059
E8N,E8N,New Brunswick,2549
E8P,E8P,New Brunswick,3450
E8R,E8R,New Brunswick,3174
E8S,E8S,New Brunswick,4578
E8T,E8T,New Brunswick,5758
E9A,E9A,New Brunswick,2254
E9B,E9B,New Brunswick,2336
E9C,E9C,New Brunswick,2115
E9E,E9E,New Brunswick,3953
E9G,E9G,New Brunswick,5290
E9H,E9H,New Brunswick,3041
G0A,G0A,Quebec,86140
G0C,G0C,Quebec,47114
G0E,G0E,Quebec,4773
G0G,G0G,Quebec,17665
G0H,G0H,Quebec,10540
G0J,G0J,Quebec,29251
G0K,G0K,Quebec,11587
G0L,G0L,Quebec,59524
G0M,G0M,Quebec,34021
G0N,G0N,Quebec,19489
G0P,G0P,Quebec,6816
G0R,G0R,Quebec,83573
G0S,G0S,Quebec,68020
G0T,G0T,Quebec,14063
G0V,G0V,Quebec,17614
G0W,G0W,Quebec,36076
G0X,G0X,Quebec,58779
G0Y,G0Y,Quebec,9052
G0Z,G0Z,Quebec,8596
G1A,G1A,Quebec,0
G1B,G1B,Quebec,16337
G1C,G1C,Quebec,36407
G1E,G1E,Quebec,27071
G1G,G1G,Quebec,24695
G1H,G1H,Quebec,29105
G1J,G1J,Quebec,23388
G1K,G1K,Quebec,18309
G1L,G1L,Quebec,22729
G1M,G1M,Quebec,19697
G1N,G1N,Quebec,8053
G1P,G1P,Quebec,16514
G1R,G1R,Quebec,16663
G1S,G1S,Quebec,25741
G1T,G1T,Quebec,6378
G1V,G1V,Quebec,18530
G1W,G1W,Quebec,21091
G1X,G1X,Quebec,25855
G1Y,G1Y,Quebec,12653
G2A,G2A,Quebec,15482
G2B,G2B,Quebec,24546
G2C,G2C,Quebec,11767
G2E,G2E,Quebec,20674
G2G,G2G,Quebec,10676
G2J,G2J,Quebec,2953
G2K,G2K,Quebec,10961
G2L,G2L,Quebec,14090
G2M,G2M,Quebec,5301
G2N,G2N,Quebec,8134
G3A,G3A,Quebec,19198
G3B,G3B,Quebec,7925
G3C,G3C,Quebec,8977
G3E,G3E,Quebec,15629
G3G,G3G,Quebec,10098
G3H,G3H,Quebec,9252
G3J,G3J,Quebec,10341
G3K,G3K,Quebec,18534
G3L,G3L,Quebec,10309
G3M,G3M,Quebec,7200
G3N,G3N,Quebec,9942
G3Z,G3Z,Quebec,7142
G4A,G4A,Quebec,3085
G4R,G4R,Quebec,20973
G4S,G4S,Quebec,5208
G4T,G4T,Quebec,12475
G4V,G4V,Quebec,6616
G4W,G4W,Quebec,14326
G4X,G4X,Quebec,14568
G4Z,G4Z,Quebec,9859
G5A,G5A,Quebec,8332
G5B,G5B,Quebec,6294
G5C,G5C,Quebec,11771
G5H,G5H,Quebec,6789
G5J,G5J,Quebec,6221
G5L,G5L,Quebec,29258
G5M,G5M,Quebec,8471
G5N,G5N,Quebec,7969
G5R,G5R,Quebec,19500
G5T,G5T,Quebec,2863
G5V,G5V,Quebec,11255
G5X,G5X,Quebec,6290
G5Y,G5Y,Quebec,23460
G5Z,G5Z,Quebec,6882
G6A,G6A,Quebec,2330
G6B,G6B,Quebec,8179
G6C,G6C,Quebec,7046
G6E,G6E,Quebec,13537
G6G,G6G,Quebec,19707
G6H,G6H,Quebec,7142
G6J,G6J,Quebec,10513
G6K,G6K,Quebec,8366
G6L,G6L,Quebec,15172
G6P,G6P,Quebec,29233
G6R,G6R,Quebec,4598
G6S,G6S,Quebec,5029
G6T,G6T,Quebec,10291
G6V,G6V,Quebec,31698
G6W,G6W,Quebec,23942
G6X,G6X,Quebec,9751
G6Y,G6Y,Quebec,5618
G6Z,G6Z,Quebec,23607
G7A,G7A,Quebec,22834
G7B,G7B,Quebec,17957
G7G,G7G,Quebec,16737
G7H,G7H,Quebec,28516
G7J,G7J,Quebec,14860
G7K,G7K,Quebec,648
G7N,G7N,Quebec,6367
G7P,G7P,Quebec,7244
G7S,G7S,Quebec,20099
G7T,G7T,Quebec,901
G7X,G7X,Quebec,25725
G7Y,G7Y,Quebec,622
G7Z,G7Z,Quebec,2823
G8A,G8A,Quebec,6179
G8B,G8B,Quebec,22664
G8C,G8C,Quebec,4209
G8E,G8E,Quebec,3841
G8G,G8G,Quebec,3991
G8H,G8H,Quebec,10303
G8J,G8J,Quebec,4154
G8K,G8K,Quebec,10238
G8L,G8L,Quebec,14753
G8M,G8M,Quebec,5286
G8N,G8N,Quebec,2533
G8P,G8P,Quebec,7537
G8T,G8T,Quebec,28121
G8V,G8V,Quebec,9484
G8W,G8W,Quebec,10311
G8Y,G8Y,Quebec,32509
G8Z,G8Z,Quebec,13573
G9A,G9A,Quebec,20220
G9B,G9B,Quebec,16948
G9C,G9C,Quebec,3247
G9H,G9H,Quebec,13028
G9N,G9N,Quebec,16114
G9P,G9P,Quebec,11318
G9R,G9R,Quebec,2274
G9T,G9T,Quebec,15914
G9X,G9X,Quebec,10745
H0M,H0M,Quebec,1202
H1A,H1A,Quebec,32516
H1B,H1B,Quebec,20160
H1C,H1C,Quebec,14678
H1E,H1E,Quebec,42420
H1G,H1G,Quebec,48556
H1H,H1H,Quebec,36127
H1J,H1J,Quebec,10308
H1K,H1K,Quebec,34821
H1L,H1L,Quebec,33468
H1M,H1M,Quebec,29359
H1N,H1N,Quebec,23870
H1P,H1P,Quebec,18063
H1R,H1R,Quebec,30903
H1S,H1S,Quebec,25737
H1T,H1T,Quebec,31338
H1V,H1V,Quebec,22086
H1W,H1W,Quebec,28889
H1X,H1X,Quebec,30366
H1Y,H1Y,Quebec,27172
H1Z,H1Z,Quebec,35472
H2A,H2A,Quebec,19651
H2B,H2B,Quebec,17678
H2C,H2C,Quebec,18692
H2E,H2E,Quebec,24297
H2G,H2G,Quebec,21981
H2H,H2H,Quebec,14671
H2J,H2J,Quebec,26559
H2K,H2K,Quebec,28727
H2L,H2L,Quebec,24222
H2M,H2M,Quebec,18621
H2N,H2N,Quebec,6334
H2P,H2P,Quebec,14693
H2R,H2R,Quebec,22436
H2S,H2S,Quebec,27359
H2T,H2T,Quebec,16272
H2V,H2V,Quebec,31323
H2W,H2W,Quebec,11305
H2X,H2X,Quebec,19901
H2Y,H2Y,Quebec,3455
H2Z,H2Z,Quebec,2313
H3A,H3A,Quebec,3580
H3B,H3B,Quebec,581
H3C,H3C,Quebec,10877
H3E,H3E,Quebec,20461
H3G,H3G,Quebec,7457
H3H,H3H,Quebec,19025
H3J,H3J,Quebec,11071
H3K,H3K,Quebec,14919
H3L,H3L,Quebec,20636
H3M,H3M,Quebec,15478
H3N,H3N,Quebec,28277
H3P,H3P,Quebec,10208
H3R,H3R,Quebec,9650
H3S,H3S,Quebec,33125
H3T,H3T,Quebec,12817
H3V,H3V,Quebec,6648
H3W,H3W,Quebec,30678
H3X,H3X,Quebec,23069
H3Y,H3Y,Quebec,9747
H3Z,H3Z,Quebec,11813
H4A,H4A,Quebec,26453
H4B,H4B,Quebec,20368
H4C,H4C,Quebec,17052
H4E,H4E,Quebec,30513
H4G,H4G,Quebec,29488
H4H,H4H,Quebec,19268
H4J,H4J,Quebec,18205
H4K,H4K,Quebec,11257
H4L,H4L,Quebec,36795
H4M,H4M,Quebec,12325
H4N,H4N,Quebec,29755
H4P,H4P,Quebec,7149
H4R,H4R,Quebec,27065
H4S,H4S,Quebec,560
H4T,H4T,Quebec,0
H4V,H4V,Quebec,20338
H4W,H4W,Quebec,24742
H4X,H4X,Quebec,6289
H4Y,H4Y,Quebec,5
H4Z,H4Z,Quebec,10
H5A,H5A,Quebec,0
H5B,H5B,Quebec,5
H7A,H7A,Quebec,20918
H7B,H7B,Quebec,3037
H7C,H7C,Quebec,8985
H7E,H7E,Quebec,26385
H7G,H7G,Quebec,21157
H7H,H7H,Quebec,13828
H7J,H7J,Quebec,2215
H7K,H7K,Quebec,22259
H7L,H7L,Quebec,37252
H7M,H7M,Quebec,27898
H7N,H7N,Quebec,42318
H7P,H7P,Quebec,35056
H7R,H7R,Quebec,30051
H7S,H7S,Quebec,7346
H7T,H7T,Quebec,24155
H7V,H7V,Quebec,22594
H7W,H7W,Quebec,41619
H7X,H7X,Quebec,26124
H7Y,H7Y,Quebec,9796
H8N,H8N,Quebec,29465
H8P,H8P,Quebec,22706
H8R,H8R,Quebec,29913
H8S,H8S,Quebec,24407
H8T,H8T,Quebec,14796
H8Y,H8Y,Quebec,19057
H8Z,H8Z,Quebec,15161
H9A,H9A,Quebec,15691
H9B,H9B,Quebec,20943
H9C,H9C,Quebec,11613
H9E,H9E,Quebec,3098
H9G,H9G,Quebec,15512
H9H,H9H,Quebec,25449
H9J,H9J,Quebec,21728
H9K,H9K,Quebec,8557
H9P,H9P,Quebec,3925
H9R,H9R,Quebec,23861
H9S,H9S,Quebec,22580
H9W,H9W,Quebec,19324
H9X,H9X,Quebec,9702
J0A,J0A,Quebec,18840
J0B,J0B,Quebec,62359
J0C,J0C,Quebec,22745
J0E,J0E,Quebec,48182
J0G,J0G,Quebec,18556
J0H,J0H,Quebec,52238
J0J,J0J,Quebec,41213
J0K,J0K,Quebec,139128
J0L,J0L,Quebec,75957
J0M,J0M,Quebec,23550
J0N,J0N,Quebec,49434
J0P,J0P,Quebec,39721
J0R,J0R,Quebec,35633
J0S,J0S,Quebec,31968
J0T,J0T,Quebec,46277
J0V,J0V,Quebec,25928
J0W,J0W,Quebec,16025
J0X,J0X,Quebec,45720
J0Y,J0Y,Quebec,29439
J0Z,J0Z,Quebec,34120
J1A,J1A,Quebec,9251
J1C,J1C,Quebec,6626
J1E,J1E,Quebec,23643
J1G,J1G,Quebec,19936
J1H,J1H,Quebec,27256
J1J,J1J,Quebec,14462
J1K,J1K,Quebec,6904
J1L,J1L,Quebec,14301
J1M,J1M,Quebec,5376
J1N,J1N,Quebec,32394
J1R,J1R,Quebec,10423
J1S,J1S,Quebec,7919
J1T,J1T,Quebec,7693
J1X,J1X,Quebec,31584
J1Z,J1Z,Quebec,5612
J2A,J2A,Quebec,11724
J2B,J2B,Quebec,30349
J2C,J2C,Quebec,29763
J2E,J2E,Quebec,4086
J2G,J2G,Quebec,28283
J2H,J2H,Quebec,19822
J2J,J2J,Quebec,18115
J2K,J2K,Quebec,16665
J2L,J2L,Quebec,9052
J2M,J2M,Quebec,6941
J2N,J2N,Quebec,8909
J2R,J2R,Quebec,10241
J2S,J2S,Quebec,29128
J2T,J2T,Quebec,16309
J2W,J2W,Quebec,28279
J2X,J2X,Quebec,19786
J2Y,J2Y,Quebec,5672
J3A,J3A,Quebec,8455
J3B,J3B,Quebec,32742
J3E,J3E,Quebec,29847
J3G,J3G,Quebec,31982
J3H,J3H,Quebec,25815
J3L,J3L,Quebec,48606
J3M,J3M,Quebec,10751
J3N,J3N,Quebec,17059
J3P,J3P,Quebec,24977
J3R,J3R,Quebec,14199
J3T,J3T,Quebec,8169
J3V,J3V,Quebec,25953
J3X,J3X,Quebec,21257
J3Y,J3Y,Quebec,61954
J3Z,J3Z,Quebec,4863
J4B,J4B,Quebec,41671
J4G,J4G,Quebec,9875
J4H,J4H,Quebec,15144
J4J,J4J,Quebec,29492
J4K,J4K,Quebec,25903
J4L,J4L,Quebec,30266
J4M,J4M,Quebec,13048
J4N,J4N,Quebec,9876
J4P,J4P,Quebec,10798
J4R,J4R,Quebec,9982
J4S,J4S,Quebec,6155
J4T,J4T,Quebec,17836
J4V,J4V,Quebec,16543
J4W,J4W,Quebec,18319
J4X,J4X,Quebec,17657
J4Y,J4Y,Quebec,23179
J4Z,J4Z,Quebec,26576
J5A,J5A,Quebec,27312
J5B,J5B,Quebec,7443
J5C,J5C,Quebec,17047
J5J,J5J,Quebec,15690
J5K,J5K,Quebec,16019
J5L,J5L,Quebec,20067
J5M,J5M,Quebec,20788
J5R,J5R,Quebec,45157
J5T,J5T,Quebec,13657
J5V,J5V,Quebec,7152
J5W,J5W,Quebec,25868
J5X,J5X,Quebec,8693
J5Y,J5Y,Quebec,29382
J5Z,J5Z,Quebec,27327
J6A,J6A,Quebec,33489
J6E,J6E,Quebec,43876
J6J,J6J,Quebec,23457
J6K,J6K,Quebec,24449
J6N,J6N,Quebec,15189
J6R,J6R,Quebec,13115
J6S,J6S,Quebec,23518
J6T,J6T,Quebec,17227
J6V,J6V,Quebec,12315
J6W,J6W,Quebec,32007
J6X,J6X,Quebec,23026
J6Y,J6Y,Quebec,19967
J6Z,J6Z,Quebec,18958
J7A,J7A,Quebec,14083
J7B,J7B,Quebec,13029
J7C,J7C,Quebec,41925
J7E,J7E,Quebec,30476
J7G,J7G,Quebec,17218
J7H,J7H,Quebec,6982
J7J,J7J,Quebec,23008
J7K,J7K,Quebec,34964
J7L,J7L,Quebec,11728
J7M,J7M,Quebec,24207
J7N,J7N,Quebec,27495
J7P,J7P,Quebec,24790
J7R,J7R,Quebec,36714
J7T,J7T,Quebec,26699
J7V,J7V,Quebec,63003
J7W,J7W,Quebec,14558
J7X,J7X,Quebec,5368
J7Y,J7Y,Quebec,24934
J7Z,J7Z,Quebec,29351
J8A,J8A,Quebec,9113
J8B,J8B,Quebec,12919
J8C,J8C,Quebec,10559
J8E,J8E,Quebec,9687
J8G,J8G,Quebec,7849
J8H,J8H,Quebec,13810
J8L,J8L,Quebec,18626
J8M,J8M,Quebec,12981
J8N,J8N,Quebec,12054
J8P,J8P,Quebec,33621
J8R,J8R,Quebec,29175
J8T,J8T,Quebec,39349
J8V,J8V,Quebec,26483
J8X,J8X,Quebec,9749
J8Y,J8Y,Quebec,23241
J8Z,J8Z,Quebec,14938
J9A,J9A,Quebec,21438
J9B,J9B,Quebec,6898
J9E,J9E,Quebec,7769
J9H,J9H,Quebec,31023
J9J,J9J,Quebec,32714
J9L,J9L,Quebec,14002
J9P,J9P,Quebec,32766
J9T,J9T,Quebec,13381
J9V,J9V,Quebec,3462
J9X,J9X,Quebec,23669
J9Y,J9Y,Quebec,10201
J9Z,J9Z,Quebec,7340
K0A,K0A,Ontario,103474
K0B,K0B,Ontario,20945
K0C,K0C,Ontario,52154
K0E,K0E,Ontario,38903
K0G,K0G,Ontario,37097
K0H,K0H,Ontario,44019
K0J,K0J,Ontario,33702
K0K,K0K,Ontario,111372
K0L,K0L,Ontario,71343
K0M,K0M,Ontario,49388
K1A,K1A,Ontario,589
K1B,K1B,Ontario,17110
K1C,K1C,Ontario,37662
K1E,K1E,Ontario,14803
K1G,K1G,Ontario,34075
K1H,K1H,Ontario,15796
K1J,K1J,Ontario,26931
K1K,K1K,Ontario,29499
K1L,K1L,Ontario,17021
K1M,K1M,Ontario,6695
K1N,K1N,Ontario,25063
K1P,K1P,Ontario,340
K1R,K1R,Ontario,18730
K1S,K1S,Ontario,28660
K1T,K1T,Ontario,35432
K1V,K1V,Ontario,54835
K1W,K1W,Ontario,10032
K1X,K1X,Ontario,835
K1Y,K1Y,Ontario,19774
K1Z,K1Z,Ontario,20983
K2A,K2A,Ontario,16790
K2B,K2B,Ontario,32260
K2C,K2C,Ontario,27941
K2E,K2E,Ontario,19034
K2G,K2G,Ontario,49222
K2H,K2H,Ontario,26402
K2J,K2J,Ontario,68963
K2K,K2K,Ontario,24431
K2L,K2L,Ontario,19162
K2M,K2M,Ontario,27028
K2P,K2P,Ontario,17603
K2R,K2R,Ontario,1188
K2S,K2S,Ontario,32061
K2T,K2T,Ontario,9447
K2V,K2V,Ontario,2435
K2W,K2W,Ontario,8660
K4A,K4A,Ontario,54524
K4B,K4B,Ontario,4793
K4C,K4C,Ontario,4530
K4K,K4K,Ontario,15368
K4M,K4M,Ontario,11009
K4P,K4P,Ontario,9821
K4R,K4R,Ontario,7435
K6A,K6A,Ontario,12538
K6H,K6H,Ontario,30949
K6J,K6J,Ontario,17644
K6K,K6K,Ontario,3153
K6T,K6T,Ontario,556
K6V,K6V,Ontario,27782
K7A,K7A,Ontario,16626
K7C,K7C,Ontario,17666
K7G,K7G,Ontario,8297
K7H,K7H,Ontario,15009
K7K,K7K,Ontario,31621
K7L,K7L,Ontario,17749
K7M,K7M,Ontario,47676
K7N,K7N,Ontario,7900
K7P,K7P,Ontario,21653
K7R,K7R,Ontario,14406
K7S,K7S,Ontario,12986
K7V,K7V,Ontario,13438
K8A,K8A,Ontario,25771
K8B,K8B,Ontario,442
K8H,K8H,Ontario,15205
K8N,K8N,Ontario,28462
K8P,K8P,Ontario,21289
K8R,K8R,Ontario,1418
K8V,K8V,Ontario,27192
K9A,K9A,Ontario,25677
K9H,K9H,Ontario,28597
K9J,K9J,Ontario,43047
K9K,K9K,Ontario,13155
K9L,K9L,Ontario,7364
K9V,K9V,Ontario,27760
L0A,L0A,Ontario,13590
L0B,L0B,Ontario,15146
L0C,L0C,Ontario,9414
L0E,L0E,Ontario,20497
L0G,L0G,Ontario,39873
L0H,L0H,Ontario,3385
L0J,L0J,Ontario,5003
L0K,L0K,Ontario,34722
L0L,L0L,Ontario,46902
L0M,L0M,Ontario,35844
L0N,L0N,Ontario,5050
L0P,L0P,Ontario,8543
L0R,L0R,Ontario,97999
L0S,L0S,Ontario,55265
L1A,L1A,Ontario,15304
L1B,L1B,Ontario,11977
L1C,L1C,Ontario,43531
L1E,L1E,Ontario,27117
L1G,L1G,Ontario,41124
L1H,L1H,Ontario,31261
L1J,L1J,Ontario,41793
L1K,L1K,Ontario,39697
L1L,L1L,Ontario,5742
L1M,L1M,Ontario,21878
L1N,L1N,Ontario,47572
L1P,L1P,Ontario,17479
L1R,L1R,Ontario,40287
L1S,L1S,Ontario,40689
L1T,L1T,Ontario,50536
L1V,L1V,Ontario,51910
L1W,L1W,Ontario,17033
L1X,L1X,Ontario,19481
L1Y,L1Y,Ontario,2005
L1Z,L1Z,Ontario,28446
L2A,L2A,Ontario,16532
L2E,L2E,Ontario,20956
L2G,L2G,Ontario,26096
L2H,L2H,Ontario,25616
L2J,L2J,Ontario,14463
L2M,L2M,Ontario,32759
L2N,L2N,Ontario,30648
L2P,L2P,Ontario,14517
L2R,L2R,Ontario,24496
L2S,L2S,Ontario,19006
L2T,L2T,Ontario,10684
L2V,L2V,Ontario,16268
L2W,L2W,Ontario,2043
L3B,L3B,Ontario,22980
L3C,L3C,Ontario,31670
L3K,L3K,Ontario,18226
L3M,L3M,Ontario,26845
L3P,L3P,Ontario,37764
L3R,L3R,Ontario,62298
L3S,L3S,Ontario,56117
L3T,L3T,Ontario,50669
L3V,L3V,Ontario,44915
L3X,L3X,Ontario,42239
L3Y,L3Y,Ontario,44469
L3Z,L3Z,Ontario,33666
L4A,L4A,Ontario,42174
L4B,L4B,Ontario,35858
L4C,L4C,Ontario,71152
L4E,L4E,Ontario,52207
L4G,L4G,Ontario,55445
L4H,L4H,Ontario,68382
L4J,L4J,Ontario,77214
L4K,L4K,Ontario,15591
L4L,L4L,Ontario,54282
L4M,L4M,Ontario,45991
L4N,L4N,Ontario,98663
L4P,L4P,Ontario,28916
L4R,L4R,Ontario,18153
L4S,L4S,Ontario,35803
L4T,L4T,Ontario,38445
L4V,L4V,Ontario,5
L4W,L4W,Ontario,20761
L4X,L4X,Ontario,19592
L4Y,L4Y,Ontario,23796
L4Z,L4Z,Ontario,38102
L5A,L5A,Ontario,47828
L5B,L5B,Ontario,63394
L5C,L5C,Ontario,29687
L5E,L5E,Ontario,12731
L5G,L5G,Ontario,20206
L5H,L5H,Ontario,17608
L5J,L5J,Ontario,28089
L5K,L5K,Ontario,13967
